"1","2","3","4","5","6"
"독일","여자","55~59세",77.94447,79.65241,2.14425
"독일","여자","55~64세",68.36957,70.03372,2.37621
"독일","여자","60~64세",57.04359,58.65593,2.7488
"독일","여자","65~69세",14.03556,14.19982,1.1568
"독일","여자","65세 이상",5.46144,5.50883,0.86036
"독일","여자","총계",55.03307,56.57512,2.72568
"독일","개인 전체","15~19세",27.73417,29.82719,7.01716
"독일","개인 전체","15~24세",48.48134,51.44834,5.76695
"독일","개인 전체","15~64세",76.68902,79.23536,3.21364
"독일","개인 전체","20~24세",67.29931,71.05902,5.29097
"독일","개인 전체","25~29세",80.68084,84.11057,4.07764
"독일","개인 전체","25~34세",82.25186,85.58082,3.88984
"독일","개인 전체","25~54세",85.4042,88.04071,2.99466
"독일","개인 전체","25~64세",81.94677,84.4147,2.92358
"독일","개인 전체","30~34세",83.69199,86.92858,3.72327
"독일","개인 전체","35~39세",85.55077,88.34336,3.16106
"독일","개인 전체","35~44세",86.37841,89.05624,3.0069
"독일","개인 전체","40~44세",87.25181,89.80853,2.84686
"독일","개인 전체","45~49세",87.98459,90.08518,2.33178
"독일","개인 전체","45~54세",87.24743,89.26428,2.25942
"독일","개인 전체","50~54세",86.66258,88.61299,2.20105
"독일","개인 전체","55~59세",81.77023,83.82662,2.45314
"독일","개인 전체","55~64세",72.67751,74.69347,2.69898
"독일","개인 전체","60~64세",61.74326,63.71061,3.08795
"독일","개인 전체","65~69세",17.91028,18.10899,1.09727
"독일","개인 전체","65세 이상",7.78239,7.84415,0.78729
"독일","개인 전체","총계",59.97091,61.91444,3.13906
"라트비아","남자","15~19세",9.77775,12.59197,22.34932
"라트비아","남자","15~24세",33.93328,39.55586,14.21428
"라트비아","남자","15~64세",73.93929,79.77087,7.31041
"라트비아","남자","20~24세",59.30188,67.87386,12.62927
"라트비아","남자","25~29세",84.07083,90.96237,7.57625
"라트비아","남자","25~34세",86.04548,91.8377,6.30702
"라트비아","남자","25~54세",85.19795,91.23663,6.61871
"라트비아","남자","25~64세",81.01012,86.87864,6.75484
"라트비아","남자","30~34세",87.73927,92.58854,5.23743
"라트비아","남자","35~39세",89.89776,95.37208,5.73996
"라트비아","남자","35~44세",87.44473,93.85346,6.82845
"라트비아","남자","40~44세",84.83649,92.23875,8.02511
"라트비아","남자","45~49세",84.57648,90.5713,6.6189
"라트비아","남자","45~54세",82.01447,87.93623,6.73415
"라트비아","남자","50~54세",79.30317,85.14761,6.86389
"라트비아","남자","55~59세",76.12187,81.78925,6.92924
"라트비아","남자","55~64세",67.63532,72.96035,7.29852
"라트비아","남자","60~64세",58.16266,63.10556,7.83275
"라트비아","남자","65~69세",28.04052,29.47877,4.87896
"라트비아","남자","65세 이상",12.83199,13.38162,4.10731
"라트비아","남자","총계",63.12324,68.0199,7.19887
"라트비아","여자","15~19세",6.38772,8.02367,20.38898
"라트비아","여자","15~24세",29.4989,32.8254,10.13393
"라트비아","여자","15~64세",70.71376,74.97612,5.68496
"라트비아","여자","20~24세",54.27745,59.41648,8.64916
"라트비아","여자","25~29세",78.50771,84.5054,7.09741
"라트비아","여자","25~34세",77.57198,83.42703,7.01817
"라트비아","여자","25~54세",81.03473,85.47651,5.19649
"라트비아","여자","25~64세",77.13981,81.54808,5.40574
"라트비아","여자","30~34세",76.76654,82.49882,6.94831
"라트비아","여자","35~39세",80.54175,84.49243,4.67577
"라트비아","여자","35~44세",82.67664,86.21186,4.10062
"라트비아","여자","40~44세",84.82137,87.93922,3.54546
"라트비아","여자","45~49세",83.43304,87.65436,4.81587
"라트비아","여자","45~54세",82.67707,86.67035,4.60744
"라트비아","여자","50~54세",81.91613,85.67988,4.39281
"라트비아","여자","55~59세",76.25458,82.31483,7.36228
"라트비아","여자","55~64세",67.1049,71.42687,6.05089
